Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol: 3 11NL 24CM     
No. of strips: 6
Rehydraton:for  8:00Hrs at 20 C
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    3:00Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V    8:45Hrs


 0:00 ->  250V at 12uA     0Vhrs
 0:05 ->  364V at 50uA    31Vhrs
 0:05 ->  366V at 50uA    31Vhrs
 0:10 ->  367V at 49uA    61Vhrs
 0:10 ->  377V at 48uA    61Vhrs
 0:15 ->  377V at 49uA    92Vhrs
 0:15 ->  377V at 49uA    93Vhrs
 0:20 ->  389V at 49uA   124Vhrs
 0:20 ->  395V at 50uA   125Vhrs
 0:25 ->  406V at 50uA   158Vhrs
 0:25 ->  407V at 50uA   158Vhrs
 0:30 ->  429V at 49uA   193Vhrs
 0:30 ->  429V at 50uA   193Vhrs
 0:35 ->  455V at 49uA   230Vhrs
 0:35 ->  463V at 49uA   230Vhrs
 0:40 ->  490V at 50uA   269Vhrs
 0:40 ->  488V at 49uA   269Vhrs
 0:45 ->  500V at 47uA   311Vhrs
 0:45 ->  500V at 46uA   311Vhrs
 0:50 ->  500V at 43uA   352Vhrs
 0:50 ->  500V at 43uA   352Vhrs
 0:55 ->  500V at 41uA   394Vhrs
 0:55 ->  500V at 41uA   394Vhrs
 1:00 ->  500V at 39uA   435Vhrs
Step  2
 1:00 ->  500V at 39uA   436Vhrs
 1:05 ->  514V at 38uA   478Vhrs
 1:05 ->  514V at 38uA   478Vhrs
 1:10 ->  528V at 37uA   521Vhrs
 1:10 ->  528V at 37uA   521Vhrs
 1:15 ->  542V at 38uA   566Vhrs
 1:15 ->  542V at 38uA   566Vhrs
 1:20 ->  556V at 37uA   611Vhrs
 1:20 ->  556V at 37uA   612Vhrs
 1:25 ->  569V at 36uA   658Vhrs
 1:25 ->  570V at 36uA   659Vhrs
 1:30 ->  583V at 37uA   706Vhrs
 1:30 ->  583V at 36uA   707Vhrs
 1:35 ->  597V at 37uA   756Vhrs
 1:35 ->  597V at 37uA   756Vhrs
 1:40 ->  611V at 36uA   806Vhrs
 1:40 ->  611V at 36uA   806Vhrs
 1:45 ->  625V at 36uA   857Vhrs
 1:45 ->  625V at 36uA   858Vhrs
 1:50 ->  639V at 35uA   910Vhrs
 1:50 ->  639V at 35uA   911Vhrs
 1:55 ->  653V at 34uA   964Vhrs
 1:55 ->  653V at 34uA   964Vhrs
 2:00 ->  667V at 32uA  1019Vhrs
 2:00 ->  667V at 32uA  1019Vhrs
 2:05 ->  681V at 30uA  1075Vhrs
 2:05 ->  681V at 30uA  1076Vhrs
 2:10 ->  695V at 27uA  1133Vhrs
 2:10 ->  695V at 27uA  1133Vhrs
 2:15 ->  708V at 25uA  1191Vhrs
 2:15 ->  709V at 25uA  1191Vhrs
 2:20 ->  722V at 22uA  1251Vhrs
 2:20 ->  722V at 22uA  1251Vhrs
 2:25 ->  736V at 21uA  1311Vhrs
 2:25 ->  736V at 21uA  1312Vhrs
 2:30 ->  750V at 19uA  1374Vhrs
 2:30 ->  750V at 19uA  1374Vhrs
 2:35 ->  764V at 18uA  1437Vhrs
 2:35 ->  764V at 18uA  1437Vhrs
 2:40 ->  778V at 18uA  1501Vhrs
 2:40 ->  778V at 18uA  1501Vhrs
 2:45 ->  792V at 17uA  1566Vhrs
 2:45 ->  792V at 17uA  1567Vhrs
 2:50 ->  806V at 16uA  1633Vhrs
 2:50 ->  806V at 16uA  1633Vhrs
 2:55 ->  820V at 16uA  1701Vhrs
 2:55 ->  820V at 16uA  1701Vhrs
 3:00 ->  834V at 15uA  1770Vhrs
 3:00 ->  834V at 15uA  1770Vhrs
 3:05 ->  847V at 15uA  1840Vhrs
 3:05 ->  848V at 15uA  1840Vhrs
 3:10 ->  861V at 15uA  1911Vhrs
 3:10 ->  861V at 15uA  1911Vhrs
 3:15 ->  875V at 14uA  1983Vhrs
 3:15 ->  875V at 14uA  1984Vhrs
 3:20 ->  889V at 14uA  2057Vhrs
 3:20 ->  889V at 14uA  2057Vhrs
 3:25 ->  903V at 13uA  2132Vhrs
 3:25 ->  903V at 13uA  2132Vhrs
 3:30 ->  917V at 13uA  2208Vhrs
 3:30 ->  917V at 13uA  2208Vhrs
 3:35 ->  931V at 13uA  2285Vhrs
 3:35 ->  931V at 13uA  2285Vhrs
 3:40 ->  945V at 12uA  2363Vhrs
 3:40 ->  945V at 12uA  2363Vhrs
 3:45 ->  959V at 12uA  2442Vhrs
 3:45 ->  959V at 12uA  2443Vhrs
 3:50 ->  973V at 12uA  2523Vhrs
 3:50 ->  973V at 12uA  2523Vhrs
 3:55 ->  986V at 11uA  2604Vhrs
 3:55 ->  986V at 11uA  2605Vhrs
 4:00 -> 1000V at 11uA  2685Vhrs
Step  3
 4:00 -> 1005V at 11uA  2687Vhrs
 4:05 -> 1195V at 13uA  2777Vhrs
 4:05 -> 1200V at 13uA  2779Vhrs
 4:10 -> 1389V at 14uA  2885Vhrs
 4:10 -> 1394V at 14uA  2888Vhrs
 4:15 -> 1584V at 15uA  3009Vhrs
 4:15 -> 1588V at 15uA  3012Vhrs
 4:20 -> 1778V at 16uA  3149Vhrs
 4:20 -> 1784V at 16uA  3153Vhrs
 4:25 -> 1973V at 17uA  3305Vhrs
 4:25 -> 1979V at 17uA  3310Vhrs
 4:30 -> 2167V at 17uA  3478Vhrs
 4:30 -> 2174V at 17uA  3484Vhrs
 4:35 -> 2362V at 18uA  3666Vhrs
 4:35 -> 2369V at 18uA  3674Vhrs
 4:40 -> 2556V at 18uA  3871Vhrs
 4:40 -> 2564V at 18uA  3880Vhrs
 4:45 -> 2751V at 19uA  4092Vhrs
 4:45 -> 2760V at 19uA  4103Vhrs
 4:50 -> 2945V at 19uA  4330Vhrs
 4:50 -> 2955V at 19uA  4342Vhrs
 4:55 -> 3139V at 20uA  4583Vhrs
 4:55 -> 3150V at 20uA  4597Vhrs
 5:00 -> 3334V at 21uA  4853Vhrs
 5:00 -> 3345V at 21uA  4869Vhrs
 5:05 -> 3528V at 21uA  5139Vhrs
 5:05 -> 3540V at 21uA  5157Vhrs
 5:10 -> 3723V at 22uA  5441Vhrs
 5:10 -> 3736V at 22uA  5461Vhrs
 5:15 -> 3917V at 23uA  5759Vhrs
 5:15 -> 3931V at 23uA  5782Vhrs
 5:20 -> 4112V at 23uA  6094Vhrs
 5:20 -> 4126V at 23uA  6119Vhrs
 5:25 -> 4306V at 24uA  6445Vhrs
 5:25 -> 4321V at 24uA  6472Vhrs
 5:30 -> 4501V at 25uA  6812Vhrs
