Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol:   7 11NL        
No. of strips: 2
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    6:30Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V   10:20Hrs


 0:00 ->  250V at 13uA     0Vhrs
 0:05 ->  390V at 50uA    33Vhrs
 0:05 ->  389V at 49uA    33Vhrs
 0:10 ->  391V at 50uA    65Vhrs
 0:10 ->  389V at 50uA    65Vhrs
 0:15 ->  390V at 49uA    98Vhrs
 0:15 ->  388V at 50uA    98Vhrs
 0:20 ->  387V at 49uA   130Vhrs
 0:20 ->  389V at 50uA   130Vhrs
 0:25 ->  500V at 40uA   168Vhrs
 0:25 ->  500V at 39uA   168Vhrs
 0:30 ->  500V at 29uA   210Vhrs
 0:30 ->  500V at 29uA   210Vhrs
 0:35 ->  500V at 30uA   252Vhrs
 0:35 ->  500V at 29uA   252Vhrs
 0:40 ->  500V at 31uA   293Vhrs
 0:40 ->  500V at 31uA   294Vhrs
 0:45 ->  500V at 35uA   335Vhrs
 0:45 ->  500V at 35uA   335Vhrs
 0:50 ->  500V at 45uA   377Vhrs
 0:50 ->  500V at 45uA   377Vhrs
 0:55 ->  439V at 49uA   417Vhrs
 0:55 ->  439V at 50uA   417Vhrs
 1:00 ->  427V at 49uA   454Vhrs
Step  2
 1:00 ->  429V at 49uA   454Vhrs
 1:05 ->  421V at 50uA   489Vhrs
 1:05 ->  428V at 49uA   489Vhrs
 1:10 ->  429V at 49uA   525Vhrs
 1:10 ->  436V at 49uA   525Vhrs
 1:15 ->  446V at 50uA   561Vhrs
 1:15 ->  452V at 49uA   561Vhrs
 1:20 ->  470V at 49uA   599Vhrs
 1:20 ->  470V at 49uA   599Vhrs
 1:25 ->  529V at 50uA   641Vhrs
 1:25 ->  529V at 49uA   641Vhrs
 1:30 ->  538V at 46uA   685Vhrs
 1:30 ->  539V at 46uA   685Vhrs
 1:35 ->  545V at 44uA   730Vhrs
 1:35 ->  545V at 44uA   731Vhrs
 1:40 ->  551V at 41uA   776Vhrs
 1:40 ->  551V at 41uA   776Vhrs
 1:45 ->  558V at 38uA   822Vhrs
 1:45 ->  558V at 38uA   823Vhrs
 1:50 ->  564V at 36uA   869Vhrs
 1:50 ->  564V at 36uA   869Vhrs
 1:55 ->  571V at 34uA   916Vhrs
 1:55 ->  571V at 34uA   917Vhrs
 2:00 ->  577V at 32uA   964Vhrs
 2:00 ->  577V at 32uA   965Vhrs
 2:05 ->  583V at 30uA  1013Vhrs
 2:05 ->  583V at 30uA  1013Vhrs
 2:10 ->  590V at 29uA  1062Vhrs
 2:10 ->  590V at 29uA  1062Vhrs
 2:15 ->  596V at 28uA  1111Vhrs
 2:15 ->  596V at 28uA  1111Vhrs
 2:20 ->  603V at 27uA  1161Vhrs
 2:20 ->  603V at 27uA  1161Vhrs
 2:25 ->  609V at 26uA  1211Vhrs
 2:25 ->  609V at 26uA  1212Vhrs
 2:30 ->  615V at 26uA  1263Vhrs
 2:30 ->  615V at 26uA  1263Vhrs
